Symbol,Name,Price,Change,Percentage_Change,Market Cap,Volume_in_Currency_Since_0:00_UTC,Volume_in_Currency_in_24Hr,Total_Volume_All_Currencies_in_24Hr,Circulating Supply,Time,Site_Url
BTC,Bitcoin,"21,262.45",+501.74,+2.42%,405.542B,31.024B,31.024B,31.024B,19.073M,2022-06-21 12:21:15.026904,https://finance.yahoo.com/cryptocurrencies/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAEFsUKFje9IfbBRb_Nc1c0CH3XLzBMsPGbC34aJHedsZZWMcIK71OyPeb0F-uoEFv7r7apNwoj_KOsefjcG2m-LQthCw0QCGR7CMNllymBciBOYyWj9ND3gHBh8NpI0MAxiwEPVCdmfcwd4SZuMWtyk3BsTEvTFYp518yv8EAE8L
ETH,Ethereum,"1,161.28",+8.70,+0.76%,140.808B,17.999B,17.999B,17.999B,121.253M,2022-06-21 12:21:15.026904,https://finance.yahoo.com/cryptocurrencies/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAEFsUKFje9IfbBRb_Nc1c0CH3XLzBMsPGbC34aJHedsZZWMcIK71OyPeb0F-uoEFv7r7apNwoj_KOsefjcG2m-LQthCw0QCGR7CMNllymBciBOYyWj9ND3gHBh8NpI0MAxiwEPVCdmfcwd4SZuMWtyk3BsTEvTFYp518yv8EAE8L
USDT,Tether,0.999039,+0.000237,+0.02%,67.43B,52.931B,52.931B,52.931B,67.495B,2022-06-21 12:21:15.026904,https://finance.yahoo.com/cryptocurrencies/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAEFsUKFje9IfbBRb_Nc1c0CH3XLzBMsPGbC34aJHedsZZWMcIK71OyPeb0F-uoEFv7r7apNwoj_KOsefjcG2m-LQthCw0QCGR7CMNllymBciBOYyWj9ND3gHBh8NpI0MAxiwEPVCdmfcwd4SZuMWtyk3BsTEvTFYp518yv8EAE8L
USDC,USD,1.0002,-0.0004,-0.04%,55.745B,5.238B,5.238B,5.238B,55.733B,2022-06-21 12:21:15.026904,https://finance.yahoo.com/cryptocurrencies/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAEFsUKFje9IfbBRb_Nc1c0CH3XLzBMsPGbC34aJHedsZZWMcIK71OyPeb0F-uoEFv7r7apNwoj_KOsefjcG2m-LQthCw0QCGR7CMNllymBciBOYyWj9ND3gHBh8NpI0MAxiwEPVCdmfcwd4SZuMWtyk3BsTEvTFYp518yv8EAE8L
BNB,Binance,222.83,+7.40,+3.43%,36.383B,1.238B,1.238B,1.238B,163.277M,2022-06-21 12:21:15.026904,https://finance.yahoo.com/cryptocurrencies/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAEFsUKFje9IfbBRb_Nc1c0CH3XLzBMsPGbC34aJHedsZZWMcIK71OyPeb0F-uoEFv7r7apNwoj_KOsefjcG2m-LQthCw0QCGR7CMNllymBciBOYyWj9ND3gHBh8NpI0MAxiwEPVCdmfcwd4SZuMWtyk3BsTEvTFYp518yv8EAE8L
