CoinName,Symbol,Time,Market Cap,Price,Circulating Supply,Volume(24h),1h,24h,7d,Website
Bitcoin,BTC,2022/06/21 00:29,"$389,953,914,756","$20,445.70","19,072,662 BTC","$30,381,705,357",0.67%,-0.20%,-8.79%,https://coinmarketcap.com/all/views/all/
Ethereum,ETH,2022/06/21 00:29,"$134,093,262,684","$1,105.95","121,246,657 ETH","$19,385,501,805",0.84%,-1.83%,-7.55%,https://coinmarketcap.com/all/views/all/
Tether,USDT,2022/06/21 00:29,"$67,859,420,456",$0.999,"67,924,299,701 USDT *","$51,415,317,712",0.01%,0.02%,0.04%,https://coinmarketcap.com/all/views/all/
USD Coin,USDC,2022/06/21 00:29,"$55,745,331,626",$1.00,"55,736,285,886 USDC *","$5,331,732,156",0.01%,-0.03%,-0.01%,https://coinmarketcap.com/all/views/all/
BNB,BNB,2022/06/21 00:29,"$35,145,337,110",$215.25,"163,276,975 BNB *","$1,223,924,780",0.86%,0.72%,-3.00%,https://coinmarketcap.com/all/views/all/
